episode,mean_reward
1128,-147.02
1129,-146.88
1130,-146.54
1131,-146.51
1132,-146.02
1133,-145.5
1134,-145.7
1135,-145.17
1136,-144.84
1137,-144.22
1138,-143.79
1139,-143.72
1140,-143.08
1141,-142.95
1142,-142.49
1143,-141.88
1144,-141.91
1145,-141.51
1146,-141.02
1147,-140.57
1148,-140.19
1149,-140.56
1150,-140.48
1151,-140.7
1152,-140.61
1153,-140.34
1154,-140.04
1155,-139.66
1156,-140.0
1157,-140.27
1158,-140.59
1159,-139.92
1160,-139.76
1161,-139.55
1162,-139.32
1163,-139.84
1164,-140.43
1165,-139.96
1166,-139.63
1167,-139.57
1168,-139.32
1169,-138.83
1170,-139.02
1171,-139.56
1172,-139.55
1173,-138.94
1174,-138.96
1175,-139.06
1176,-139.17
1177,-139.54
1178,-139.32
1179,-138.57
1180,-137.87
1181,-137.4
1182,-136.78
1183,-136.21
1184,-135.92
1185,-135.36
1186,-134.61
1187,-134.65
1188,-134.82
1189,-134.68
1190,-134.12
1191,-134.07
1192,-133.69
1193,-133.58
1194,-133.6
1195,-132.72
1196,-132.15
1197,-131.41
1198,-131.92
1199,-130.91
1200,-130.3
1201,-129.66
1202,-129.04
1203,-129.08
1204,-129.04
1205,-129.13
1206,-128.87
1207,-129.0
1208,-128.63
1209,-127.12
1210,-127.42
1211,-127.71
1212,-128.28
1213,-128.14
1214,-128.06
1215,-128.56
1216,-128.53
1217,-128.42
1218,-127.9
1219,-127.51
1220,-127.8
1221,-127.02
1222,-126.8
1223,-125.99
1224,-126.23
1225,-126.25
1226,-125.73
1227,-125.27
1228,-125.65
1229,-125.14
1230,-125.39
1231,-124.86
1232,-124.91
1233,-124.94
1234,-124.64
1235,-124.4
1236,-124.73
1237,-125.21
1238,-125.4
1239,-125.39
1240,-126.64
1241,-126.87
1242,-126.65
1243,-126.46
1244,-126.03
1245,-126.52
1246,-126.55
1247,-127.32
1248,-127.27
1249,-126.72
1250,-126.99
1251,-127.22
1252,-127.01
1253,-126.41
1254,-126.71
1255,-127.17
1256,-126.97
